Ticker,Company,Sector
ACS.MC,ACS,Construction
ACX.MC,Acerinox,Steel
AENA.MC,Aena,Aviation
AMS.MC,Amadeus IT Group,Tourism
ANA.MC,Acciona,Construction
ANE.MC,Acciona Energía,Energy
BBVA.MC,BBVA,Financial Services
BKT.MC,Bankinter,Financial Services
CABK.MC,CaixaBank,Financial Services
CLNX.MC,Cellnex Telecom,Telecommunications
COL.MC,Inmobiliaria Colonial,Real Estate
ELE.MC,Endesa,Energy
ENG.MC,Enagás,Energy
FDR.MC,Fluidra,Manufacturing
FER.MC,Ferrovial,Infrastructure
GRF.MC,Grifols,Pharmaceuticals
IAG.MC,International Airlines Group,Aviation
IBE.MC,Iberdrola,Energy
IDR.MC,Indra,Information Technology
ITX.MC,Inditex,Textile
LOG.MC,Logista,Logistics
MAP.MC,Mapfre,Insurance
MEL.MC,Meliá Hotels,Tourism
MRL.MC,Merlin Properties,Real Estate
MTS.MC,ArcelorMittal,Steel
NTGY.MC,Naturgy,Energy
RED.MC,Red Eléctrica,Energy
REP.MC,Repsol,Oil and Gas
ROVI.MC,Laboratorios Rovi [es],Pharmaceuticals
SAB.MC,Banco Sabadell,Financial Services
SAN.MC,Santander,Financial Services
SCYR.MC,Sacyr,Construction
SLR.MC,Solaria,Solar Energy
TEF.MC,Telefónica,Telecommunications
UNI.MC,Unicaja,Financial Services
